ncvFD_AFR	ncvFD_EUR	ncvFD_ASN	ncv_AFR	ncv_EUR	ncv_ASN	hka_AFR	hka_EUR	hka_ASN	tajd_AFR
0.478	0.4812	0.4862	0.4266	0.4133	0.4344	0.4636	0.3046	0.2848	-0.934601
0.4788	0.4917	0.4907	0.4061	0.4385	0.4428	0.3216	0.1657	0.2069	-0.352273
0.4693	0.4633	0.4861	0.4004	0.3286	0.4407	0.497	0.3314	0.3254	-0.202581
0.4748	0.4705	0.4933	0.4055	0.358	0.4673	0.4036	0.3072	0.2651	-0.339334
0.4728	0.4729	0.4814	0.4166	0.374	0.367	0.5309	0.3148	0.1879	-0.656417
0.4764	0.4747	0.4883	0.4235	0.3844	0.4431	0.4841	0.3185	0.2739	-0.84818
0.4731	0.4979	0.4984	0.3963	0.4746	0.4771	0.3925	0.0918	0.0765	-0.0915863
0.4622	0.4633	0.4771	0.3361	0.2958	0.3711	0.3609	0.2781	0.2485	1.39402
0.4666	0.4682	0.4978	0.3672	0.3792	0.4889	0.3889	0.4085	0.2569	0.654018
0.4659	0.4667	0.4843	0.3835	0.3754	0.4347	0.4706	0.4183	0.3399	0.247738
0.4653	0.4687	0.4728	0.3573	0.3063	0.3527	0.377	0.2408	0.267	0.907955
0.4657	0.4854	0.4878	0.3812	0.4449	0.4034	0.463	0.3827	0.16	0.30936
0.4767	0.4735	0.481	0.42	0.3669	0.4116	0.4487	0.2885	0.3013	-0.745722
0.4823	0.4801	0.4872	0.421	0.3862	0.4311	0.3133	0.2395	0.2455	-0.762068
0.4779	0.4769	0.492	0.4174	0.3625	0.4585	0.4	0.2353	0.2471	-0.672171
0.4745	0.4756	0.4952	0.4111	0.4003	0.4771	0.4422	0.3605	0.2715	-0.492178
0.4783	0.4845	0.4963	0.4046	0.4212	0.4729	0.3261	0.2663	0.164	-0.312987
0.4687	0.4613	0.4823	0.4053	0.3248	0.413	0.5479	0.3467	0.28	-0.336558
0.4904	0.488	0.4978	0.4515	0.4089	0.4695	0.2601	0.1667	0.0795	-1.63021
0.4665	0.4567	0.4995	0.3949	0.2861	0.49	0.5238	0.3274	0.0481	-0.0525653
0.4815	0.4797	0.4965	0.4332	0.3973	0.4832	0.411	0.2761	0.2683	-1.12654
0.4734	0.4865	0.4944	0.4022	0.4327	0.4681	0.4151	0.2695	0.2216	-0.24946
0.4608	0.4582	0.4763	0.3917	0.3443	0.4148	0.6385	0.4385	0.4231	0.0328624
0.4735	0.4656	0.4677	0.4004	0.335	0.3221	0.4046	0.3179	0.2717	-0.202235
0.4764	0.4892	0.4989	0.413	0.4202	0.4869	0.4076	0.1709	0.0964	-0.545098
0.4823	0.4822	0.495	0.4491	0.4065	0.4755	0.5634	0.2606	0.2606	-1.61304
0.4607	0.4679	0.4989	0.3803	0.3369	0.4741	0.5592	0.2941	0.0471	0.333674
0.4827	0.4796	0.4979	0.4399	0.3857	0.4827	0.4294	0.2456	0.1398	-1.32924
0.4651	0.4662	0.4974	0.3646	0.341	0.4781	0.4037	0.323	0.1404	0.724062
0.477	0.478	0.4975	0.4094	0.3692	0.4791	0.3743	0.2339	0.1397	-0.446246
0.477	0.47	0.4925	0.417	0.3303	0.4632	0.4182	0.2606	0.2667	-0.659546
0.4737	0.4717	0.4968	0.3916	0.3541	0.4815	0.3613	0.2827	0.2132	0.0346281
0.4654	0.4709	0.4801	0.3887	0.3745	0.3924	0.509	0.3473	0.2543	0.112405
0.4774	0.4744	0.4977	0.4108	0.3514	0.4728	0.3743	0.2458	0.0952	-0.4868
0.457	0.4648	0.4982	0.3293	0.3322	0.4623	0.4094	0.3216	0.0535	1.55851
0.4746	0.4821	0.4842	0.4102	0.4246	0.4253	0.4341	0.337	0.2912	-0.47352
0.4825	0.4885	0.4938	0.4403	0.4396	0.4439	0.4426	0.25	0.1316	-1.3468
0.4813	0.4971	0.4991	0.3998	0.4748	0.4867	0.2561	0.131	0.0714	-0.179561
0.4549	0.465	0.4895	0.3274	0.3501	0.4595	0.4317	0.3607	0.3661	1.60922
0.4675	0.4743	0.4902	0.3865	0.3767	0.4531	0.4545	0.3011	0.2784	0.170437
0.4732	0.4684	0.4969	0.4004	0.3418	0.4641	0.4099	0.2981	0.0971	-0.199634
0.4903	0.4921	0.4978	0.4582	0.4274	0.47	0.3135	0.1316	0.0833	-1.8625
0.4646	0.4642	0.4971	0.3816	0.3734	0.4634	0.4867	0.4533	0.0909	0.29821
0.472	0.4619	0.4703	0.4098	0.3291	0.371	0.4971	0.3488	0.345	-0.463829
0.4579	0.4773	0.4926	0.3656	0.4181	0.4486	0.5312	0.4188	0.1775	0.709928
0.4684	0.4808	0.4875	0.4093	0.3872	0.4054	0.5886	0.2321	0.1687	-0.450025
0.4844	0.4836	0.4969	0.4204	0.3849	0.4757	0.2647	0.1882	0.152	-0.736146
0.4712	0.4706	0.4811	0.4154	0.3941	0.409	0.5646	0.4324	0.2895	-0.621212
0.465	0.4693	0.4961	0.3465	0.3546	0.4795	0.3515	0.3153	0.2392	1.16394
0.4755	0.4756	0.4893	0.412	0.3811	0.4474	0.4235	0.2941	0.2706	-0.520127
0.4843	0.4866	0.4963	0.4309	0.4287	0.4792	0.3167	0.25	0.2222	-1.04898
0.4682	0.4584	0.4889	0.3941	0.2972	0.4528	0.4815	0.3272	0.321	-0.0309521
0.4748	0.4783	0.497	0.3992	0.3679	0.4854	0.3721	0.2267	0.2674	-0.168775
0.4768	0.4743	0.4979	0.4044	0.3493	0.4758	0.3545	0.2434	0.1	-0.309094
0.4796	0.4756	0.4948	0.4179	0.3648	0.4437	0.3598	0.2561	0.108	-0.679618
0.4888	0.4885	0.4981	0.4499	0.4331	0.4867	0.3027	0.2216	0.1728	-1.60696
0.4666	0.4697	0.4795	0.4077	0.3924	0.4296	0.6276	0.4414	0.4414	-0.40508
0.4781	0.4897	0.4958	0.4133	0.4337	0.4688	0.3716	0.1967	0.1613	-0.557327
0.4819	0.4837	0.4863	0.43	0.3987	0.4113	0.3742	0.2138	0.2013	-1.02279
0.4588	0.4685	0.4847	0.3882	0.3859	0.4167	0.6621	0.4324	0.2452	0.125799
0.4658	0.465	0.4771	0.3886	0.3595	0.3941	0.5	0.3882	0.3092	0.114731
0.4787	0.4696	0.494	0.4091	0.3474	0.456	0.3373	0.2952	0.1647	-0.435456
0.4771	0.4661	0.4822	0.4229	0.3342	0.4096	0.4595	0.3108	0.2703	-0.826492
0.4743	0.4727	0.4826	0.4054	0.3685	0.4039	0.4135	0.3029	0.2452	-0.341423
0.48	0.4765	0.497	0.4171	0.3563	0.4672	0.3464	0.2291	0.1058	-0.658759
0.4797	0.4735	0.4976	0.4298	0.3418	0.4738	0.44	0.24	0.1056	-1.02645
0.4537	0.4635	0.4675	0.3594	0.3668	0.3895	0.5762	0.4371	0.4702	0.863089
0.4714	0.4748	0.4806	0.3899	0.3267	0.3355	0.3961	0.2067	0.1604	0.0811917
0.4714	0.4843	0.482	0.3984	0.3887	0.3991	0.4368	0.1854	0.2416	-0.146778
0.4699	0.4743	0.4965	0.4038	0.3795	0.4834	0.5066	0.3092	0.2763	-0.295264
0.4729	0.471	0.4864	0.4138	0.3955	0.4458	0.5036	0.4307	0.3551	-0.570092
0.4637	0.4671	0.4896	0.3706	0.3383	0.4599	0.45	0.3062	0.3665	0.578884
0.4659	0.4661	0.4742	0.389	0.3465	0.3744	0.5	0.3372	0.2965	0.1051
0.4751	0.4886	0.4841	0.4054	0.4412	0.4194	0.3963	0.2561	0.2679	-0.337511
0.4734	0.4772	0.4943	0.4132	0.4036	0.4716	0.4847	0.3436	0.2575	-0.557774
0.4604	0.4889	0.4948	0.3904	0.4607	0.4585	0.6395	0.4122	0.1481	0.0668791
0.4713	0.4689	0.4774	0.4073	0.3499	0.3567	0.4966	0.3087	0.22	-0.390621
0.468	0.496	0.497	0.3955	0.462	0.4473	0.4937	0.1207	0.0632	-0.0690069
0.4803	0.4771	0.4956	0.4242	0.3858	0.4694	0.3797	0.2848	0.175	-0.857778
0.4731	0.4775	0.4961	0.3867	0.366	0.4781	0.3526	0.2343	0.2229	0.16268
0.4625	0.46	0.4951	0.3838	0.3346	0.4491	0.5422	0.3855	0.1123	0.243973
0.4715	0.4742	0.4904	0.3948	0.3665	0.4592	0.4167	0.2778	0.3194	-0.0496408
0.471	0.4716	0.4954	0.4092	0.3503	0.4702	0.5185	0.2771	0.1886	-0.445257
0.4766	0.4708	0.4771	0.3989	0.3059	0.3881	0.3367	0.2211	0.2915	-0.161174
0.4839	0.4805	0.4928	0.4402	0.4022	0.4544	0.3908	0.2759	0.1977	-1.33276
0.4782	0.487	0.4883	0.4215	0.4308	0.4189	0.4172	0.2484	0.183	-0.784005
0.475	0.4792	0.4989	0.4155	0.376	0.484	0.4606	0.2303	0.0747	-0.621067
0.4561	0.4735	0.4926	0.3552	0.3952	0.4373	0.5133	0.38	0.1437	0.962162
0.4756	0.4672	0.4833	0.4149	0.3488	0.4284	0.4409	0.328	0.328	-0.605834
0.4798	0.4827	0.4949	0.424	0.4116	0.4705	0.3913	0.2671	0.2174	-0.856406
0.4869	0.4803	0.4902	0.4434	0.3856	0.4386	0.3209	0.2353	0.2032	-1.42039
0.4833	0.4889	0.4891	0.416	0.4395	0.4251	0.2718	0.2379	0.1845	-0.623542
0.4763	0.4978	0.4985	0.3829	0.4875	0.48	0.288	0.2174	0.0821	0.259583
0.4732	0.48	0.4838	0.409	0.4188	0.4133	0.4601	0.3554	0.2515	-0.438322
0.4692	0.4836	0.4788	0.3926	0.4217	0.3907	0.4518	0.2892	0.2711	0.00851831
0.4653	0.4659	0.4958	0.385	0.3658	0.4798	0.4906	0.3962	0.2654	0.209654
0.4836	0.4862	0.4943	0.4188	0.4209	0.4546	0.2753	0.2303	0.1517	-0.697841
0.4727	0.4929	0.496	0.4042	0.4697	0.4624	0.4414	0.3172	0.125	-0.303372
0.4778	0.487	0.4965	0.4099	0.4316	0.4822	0.36	0.2533	0.2467	-0.453823
0.477	0.4771	0.4958	0.4231	0.3755	0.4544	0.4634	0.259	0.1059	-0.839267
0.478	0.4717	0.4917	0.4115	0.3721	0.4363	0.3648	0.327	0.1595	-0.502161
0.4746	0.4713	0.4796	0.4161	0.3707	0.3881	0.4756	0.3293	0.2515	-0.639785
0.463	0.4652	0.4879	0.3781	0.3497	0.3924	0.5	0.3571	0.142	0.388739
0.4697	0.4952	0.4963	0.3863	0.4481	0.4586	0.4111	0.107	0.1016	0.176262
0.4695	0.4545	0.4892	0.4112	0.3036	0.4554	0.5759	0.3797	0.3354	-0.503923
0.4674	0.4652	0.4954	0.3921	0.3308	0.4812	0.4872	0.3141	0.3333	0.0220229
0.4787	0.4782	0.4978	0.4094	0.3569	0.4509	0.3394	0.211	0.0485	-0.449882
0.4746	0.4669	0.4972	0.4245	0.3379	0.4853	0.5503	0.3077	0.2442	-0.884668
0.4838	0.4826	0.4899	0.4219	0.4006	0.4308	0.2849	0.2366	0.1828	-0.78734
0.4453	0.445	0.4651	0.3488	0.3384	0.4011	0.6741	0.6222	0.6074	1.12318
0.466	0.4899	0.4903	0.3849	0.4097	0.405	0.4765	0.1384	0.1258	0.211349
0.4766	0.4779	0.4906	0.4059	0.3775	0.4191	0.3663	0.2514	0.1429	-0.348476
0.4648	0.4704	0.494	0.3893	0.3765	0.4137	0.5266	0.3609	0.0824	0.096686
