ncvFD_AFR	ncvFD_EUR	ncvFD_ASN	ncv_AFR	ncv_EUR	ncv_ASN	hka_AFR	hka_EUR	hka_ASN
0.4662	0.4662	0.4951	0.3617	0.3326	0.4727	0.3779	0.3064	0.2254
0.4632	0.4677	0.4692	0.3722	0.3425	0.3664	0.4658	0.3086	0.3478
0.4557	0.4528	0.4685	0.3669	0.3082	0.3951	0.5793	0.4085	0.4817
0.4357	0.4475	0.4817	0.3042	0.2716	0.3941	0.6188	0.3938	0.2346
0.4597	0.4597	0.4944	0.3796	0.3252	0.4775	0.5752	0.366	0.3399
0.4429	0.4402	0.4678	0.3198	0.2626	0.3856	0.5731	0.4503	0.4444
0.4497	0.449	0.4583	0.3304	0.2553	0.3446	0.5137	0.3552	0.4372
0.442	0.4379	0.4405	0.3081	0.2216	0.2829	0.5434	0.408	0.4913
0.4748	0.4782	0.4916	0.4005	0.3853	0.4522	0.3768	0.2662	0.223
0.4682	0.473	0.488	0.3839	0.3257	0.4347	0.4286	0.2236	0.2422
0.4625	0.4637	0.4834	0.3765	0.2918	0.4217	0.5	0.2695	0.2934
0.4612	0.4566	0.4692	0.3601	0.2744	0.3344	0.449	0.3112	0.2755
0.4823	0.4834	0.4899	0.4003	0.3785	0.4331	0.24	0.18	0.19
0.4529	0.4533	0.4553	0.3524	0.3152	0.2786	0.5542	0.4192	0.3293
0.469	0.4718	0.4648	0.3978	0.32	0.2597	0.4877	0.2284	0.2284
0.4473	0.4473	0.4471	0.3491	0.2742	0.2578	0.638	0.4	0.3758
0.4624	0.4534	0.4571	0.3739	0.2668	0.3139	0.4897	0.331	0.3724
0.479	0.4812	0.4839	0.4104	0.3872	0.3925	0.3372	0.2267	0.1977
0.4381	0.4375	0.4413	0.3346	0.2676	0.2478	0.7266	0.4892	0.4143
0.4615	0.4721	0.4899	0.3889	0.3847	0.4674	0.6	0.363	0.4667
0.464	0.4616	0.4881	0.3537	0.2991	0.4442	0.3853	0.2987	0.2857
0.4576	0.4486	0.4661	0.3792	0.2904	0.3742	0.6187	0.4173	0.4245
0.4422	0.4416	0.4777	0.3381	0.3065	0.4247	0.6694	0.544	0.456
0.447	0.4466	0.4467	0.3115	0.2954	0.2682	0.489	0.4505	0.3956
0.4738	0.4711	0.4881	0.3891	0.3538	0.4392	0.3484	0.2903	0.2581
0.4491	0.4442	0.4487	0.3597	0.3208	0.3163	0.6686	0.5581	0.48
0.4502	0.4513	0.4556	0.3362	0.2939	0.2991	0.5282	0.3949	0.359
0.4643	0.4594	0.4624	0.3898	0.3434	0.3319	0.5411	0.4178	0.3493
0.4582	0.4604	0.4574	0.3687	0.3054	0.2901	0.5414	0.3204	0.326
0.4584	0.4584	0.4704	0.3597	0.282	0.3771	0.4934	0.3052	0.3636
0.443	0.4423	0.4517	0.3424	0.2853	0.2922	0.6803	0.4762	0.3878
0.4712	0.4707	0.4759	0.3772	0.2881	0.3778	0.3514	0.2054	0.2811
0.4736	0.4713	0.494	0.4109	0.3471	0.4679	0.4641	0.2745	0.2353
0.4746	0.4752	0.4871	0.3997	0.3796	0.4199	0.3774	0.2963	0.2099
0.4487	0.4475	0.4561	0.3187	0.2732	0.3022	0.4878	0.3963	0.3598
