ncvFD_AFR	ncvFD_EUR	ncvFD_ASN	ncv_AFR	ncv_EUR	ncv_ASN	hka_AFR	hka_EUR	hka_ASN	tajd_AFR
0.4901	0.4934	0.4944	0.4453	0.4528	0.4521	0.234	0.1702	0.1383	-1.34792
0.4712	0.4924	0.494	0.399	0.429	0.4706	0.4444	0.1282	0.2639	-0.153304
0.4796	0.4882	0.4812	0.4143	0.4126	0.3325	0.3429	0.1714	0.1524	-0.558856
0.4771	0.4959	0.4844	0.4234	0.478	0.4169	0.4615	0.2366	0.2527	-0.815397
0.4695	0.4696	0.471	0.394	0.3657	0.3387	0.4526	0.3404	0.2632	-0.0282504
0.4756	0.4756	0.4735	0.4153	0.3355	0.3649	0.4444	0.2099	0.284	-0.585935
0.475	0.474	0.4805	0.3944	0.3632	0.415	0.3474	0.2737	0.3263	-0.0361873
0.4821	0.488	0.4862	0.4053	0.4405	0.4004	0.2574	0.2673	0.1782	-0.309505
0.4823	0.4851	0.4806	0.4288	0.4032	0.3756	0.3578	0.2018	0.211	-0.960443
0.4851	0.4824	0.4859	0.4427	0.4153	0.4027	0.375	0.2875	0.1875	-1.32408
0.4664	0.4759	0.4755	0.3714	0.3571	0.3174	0.4074	0.2381	0.1905	0.527959
0.4815	0.4814	0.4865	0.4281	0.3805	0.4258	0.3737	0.21	0.24	-0.936872
0.4747	0.4748	0.4758	0.4201	0.3678	0.3993	0.5057	0.2727	0.3523	-0.728846
0.4927	0.4905	0.4922	0.4649	0.389	0.4203	0.2706	0.1059	0.1176	-1.90387
0.4802	0.4855	0.4871	0.4379	0.4137	0.4108	0.5	0.2209	0.186	-1.22868
0.4709	0.4775	0.4751	0.3993	0.3885	0.3493	0.4536	0.2857	0.2347	-0.166343
0.4758	0.4794	0.4791	0.4059	0.3944	0.3706	0.3827	0.2716	0.2222	-0.331897
0.479	0.4916	0.4852	0.4057	0.4398	0.4232	0.3173	0.1731	0.2596	-0.327752
0.4786	0.4834	0.4897	0.3798	0.3714	0.4376	0.2473	0.1702	0.2105	0.312609
0.467	0.456	0.4542	0.4065	0.3518	0.3447	0.6026	0.5	0.5	-0.358781
0.4804	0.4872	0.4865	0.4269	0.4296	0.4255	0.3958	0.2396	0.2396	-0.905864
0.4677	0.4776	0.4676	0.3953	0.3706	0.343	0.5	0.2414	0.3103	-0.0620396
0.4667	0.474	0.4819	0.3927	0.3966	0.3724	0.5054	0.3763	0.19	0.00669724
0.487	0.483	0.4852	0.4487	0.386	0.4072	0.358	0.1975	0.2099	-1.48762
0.4768	0.4754	0.4795	0.423	0.3796	0.3939	0.4691	0.2927	0.2683	-0.797107
0.467	0.463	0.4634	0.4054	0.3281	0.3618	0.5942	0.3333	0.4203	-0.325755
0.4757	0.4698	0.492	0.4421	0.3945	0.442	0.7681	0.4493	0.1688	-1.36994
0.483	0.4844	0.4793	0.4285	0.3742	0.3798	0.3375	0.1625	0.2375	-0.920002
0.482	0.4823	0.4869	0.435	0.4115	0.426	0.411	0.274	0.2329	-1.10877
0.4905	0.4913	0.4898	0.4483	0.4173	0.3261	0.2366	0.129	0.0753	-1.4288
0.4858	0.4792	0.4799	0.4394	0.3241	0.3671	0.3261	0.163	0.2065	-1.23021
0.4839	0.4933	0.4866	0.4324	0.4503	0.3876	0.3367	0.1633	0.1531	-1.0461
0.4789	0.4788	0.4791	0.4081	0.4077	0.3951	0.3291	0.3291	0.2785	-0.3801
0.4772	0.4759	0.4785	0.4158	0.3531	0.3714	0.4066	0.2308	0.2308	-0.599224
0.4864	0.4884	0.4817	0.4437	0.3993	0.3644	0.3373	0.1446	0.1807	-1.34142
0.4717	0.4747	0.4952	0.3923	0.3856	0.467	0.4	0.3222	0.1778	0.0153866
0.4772	0.4879	0.488	0.4263	0.4204	0.3923	0.4831	0.1957	0.1413	-0.899201
0.4681	0.4759	0.4614	0.3829	0.3977	0.3433	0.4253	0.3448	0.3908	0.252793
0.4806	0.485	0.479	0.4275	0.4186	0.3822	0.3933	0.2472	0.2472	-0.915401
0.4919	0.4892	0.4883	0.4511	0.4278	0.3948	0.21	0.19	0.14	-1.4981
0.4695	0.4888	0.4884	0.3475	0.444	0.3953	0.2963	0.2651	0.1395	1.04417
0.4793	0.4758	0.488	0.429	0.3615	0.4405	0.4432	0.2472	0.2697	-0.967217
0.4459	0.4485	0.4463	0.3697	0.3335	0.3286	0.8235	0.5429	0.5571	0.59226
0.4815	0.4849	0.4897	0.4391	0.4157	0.447	0.4648	0.2394	0.2535	-1.23516
0.4483	0.449	0.4599	0.3207	0.3466	0.37	0.5	0.5938	0.5156	1.65174
0.4872	0.4907	0.494	0.4191	0.4355	0.4446	0.2048	0.1807	0.1279	-0.627124
0.4812	0.4889	0.487	0.4359	0.3954	0.4237	0.4444	0.1333	0.2222	-1.16499
0.4882	0.4909	0.4926	0.4331	0.4231	0.4342	0.2292	0.1458	0.1354	-1.01686
0.4803	0.493	0.4971	0.422	0.4362	0.476	0.3678	0.1319	0.1429	-0.760057
0.472	0.4951	0.4958	0.4163	0.4603	0.4577	0.55	0.1477	0.1136	-0.622422
0.4808	0.4815	0.4857	0.4253	0.3713	0.3752	0.375	0.1932	0.1477	-0.850232
0.4734	0.4813	0.4777	0.4205	0.4186	0.3725	0.5467	0.3247	0.2436	-0.734309
0.4837	0.4893	0.4897	0.442	0.4404	0.4286	0.4156	0.2338	0.1818	-1.31286
0.4876	0.4889	0.4893	0.4507	0.4057	0.4175	0.3529	0.1471	0.1618	-1.51157
0.4711	0.479	0.4732	0.4013	0.4169	0.4092	0.4615	0.3692	0.4615	-0.21176
0.4905	0.4854	0.4976	0.4549	0.4318	0.4804	0.2812	0.2917	0.1429	-1.65356
0.4907	0.4953	0.4967	0.4628	0.4539	0.4519	0.3478	0.1196	0.0761	-1.91571
0.4878	0.4764	0.4951	0.4578	0.3854	0.4321	0.4239	0.2935	0.0833	-1.80037
0.4818	0.48	0.4845	0.4227	0.3578	0.3818	0.3333	0.1919	0.1717	-0.77975
0.4798	0.4779	0.4757	0.4393	0.4115	0.3892	0.5333	0.3667	0.3167	-1.23739
0.4794	0.4798	0.4823	0.4121	0.3689	0.3876	0.3368	0.2105	0.2105	-0.494515
0.4907	0.4925	0.4886	0.4381	0.4577	0.4424	0.1882	0.2262	0.2619	-1.09987
0.4895	0.4891	0.494	0.4512	0.424	0.4408	0.2892	0.1807	0.1205	-1.52579
0.4696	0.474	0.4774	0.402	0.3447	0.389	0.5	0.2391	0.2889	-0.238502
0.4886	0.4927	0.4927	0.4376	0.452	0.4267	0.2376	0.1881	0.1188	-1.15055
0.4576	0.4556	0.4592	0.3579	0.3446	0.3226	0.5	0.4778	0.3667	0.866519
0.4685	0.466	0.4652	0.374	0.3409	0.3015	0.3837	0.3256	0.2674	0.465167
0.4822	0.4844	0.4853	0.4332	0.3822	0.4185	0.3889	0.1739	0.2391	-1.0736
0.4772	0.4907	0.4915	0.44	0.4443	0.4212	0.6552	0.2131	0.1311	-1.27615
0.4762	0.4805	0.4841	0.4194	0.3262	0.3882	0.4556	0.1538	0.1868	-0.703957
0.4848	0.481	0.4814	0.431	0.4067	0.3845	0.3043	0.2826	0.2174	-0.991157
0.47	0.4681	0.4681	0.3946	0.344	0.3315	0.4471	0.3059	0.2824	-0.0424868
0.4842	0.4848	0.4844	0.4481	0.4147	0.3241	0.4605	0.2368	0.1184	-1.49817
0.4775	0.4782	0.4797	0.4196	0.3889	0.3617	0.425	0.275	0.2	-0.699285
0.472	0.4732	0.4677	0.3785	0.3316	0.325	0.3429	0.2286	0.2762	0.36058
0.4895	0.4916	0.4892	0.4449	0.4441	0.3916	0.25	0.1875	0.1237	-1.35077
0.4778	0.4775	0.4764	0.4184	0.3673	0.3174	0.4086	0.2366	0.1828	-0.673792
0.4916	0.4914	0.488	0.4501	0.4224	0.4025	0.2136	0.1359	0.1553	-1.47844
0.4795	0.4767	0.4793	0.4434	0.4226	0.4046	0.6	0.4667	0.3067	-1.3911
0.478	0.4793	0.487	0.3784	0.3824	0.4338	0.2526	0.2421	0.2632	0.348749
0.477	0.4744	0.4743	0.4184	0.3714	0.365	0.4286	0.2857	0.2727	-0.663903
0.458	0.4841	0.4931	0.3882	0.3752	0.4393	0.6818	0.1667	0.1373	0.123664
0.4666	0.4667	0.4722	0.4027	0.3481	0.3364	0.5797	0.3333	0.2464	-0.253149
0.4814	0.4817	0.4854	0.416	0.349	0.3335	0.3107	0.1635	0.1154	-0.59891
0.4706	0.4784	0.4861	0.3958	0.3894	0.4314	0.4405	0.2738	0.2738	-0.0744135
0.479	0.4896	0.4867	0.4241	0.4553	0.4242	0.4146	0.3171	0.2317	-0.820289
0.475	0.481	0.4833	0.43	0.4187	0.4294	0.5972	0.3333	0.3333	-1.0024
0.4809	0.485	0.4791	0.4125	0.4162	0.3602	0.3068	0.2386	0.2045	-0.494735
0.4739	0.4745	0.469	0.3921	0.3414	0.3431	0.3587	0.2283	0.2935	0.0217362
0.4609	0.4667	0.4684	0.3807	0.3704	0.3778	0.5571	0.4	0.4	0.308806
0.4875	0.4833	0.4914	0.4417	0.3472	0.4226	0.2909	0.1455	0.1364	-1.30405
0.4841	0.4836	0.4812	0.4467	0.3985	0.376	0.4487	0.2152	0.2051	-1.45737
0.4806	0.4825	0.4739	0.4303	0.4297	0.3571	0.4167	0.3571	0.2619	-0.993854
0.4818	0.4792	0.4805	0.4314	0.3714	0.3603	0.3889	0.2222	0.1889	-1.0233
0.4817	0.4903	0.4921	0.4272	0.4424	0.4206	0.3636	0.2159	0.1196	-0.900185
0.4688	0.4884	0.4621	0.4004	0.4646	0.3704	0.5072	0.5072	0.4783	-0.190862
0.4871	0.4831	0.4832	0.4358	0.3757	0.4041	0.2697	0.1798	0.236	-1.10246
0.479	0.4772	0.4724	0.422	0.4052	0.3751	0.4	0.35	0.325	-0.759256
0.4729	0.4682	0.4756	0.4196	0.3322	0.3376	0.5529	0.2824	0.2118	-0.717783
0.4889	0.4882	0.4929	0.4633	0.3917	0.4424	0.45	0.1375	0.15	-1.95213
0.4732	0.4727	0.4708	0.4166	0.3767	0.3621	0.5181	0.3253	0.3133	-0.629652
0.4753	0.4836	0.4895	0.4026	0.4061	0.4087	0.3778	0.2333	0.1429	-0.248338
0.4767	0.4726	0.4738	0.424	0.3673	0.3482	0.4795	0.3014	0.2466	-0.820518
0.4876	0.4854	0.4873	0.4468	0.4103	0.3764	0.3214	0.2143	0.131	-1.42228
0.4838	0.4699	0.4751	0.4477	0.3621	0.3759	0.475	0.325	0.2875	-1.49743
0.4879	0.4849	0.4895	0.4456	0.4047	0.4288	0.3023	0.2093	0.186	-1.3841
0.4745	0.4888	0.4728	0.421	0.4393	0.3696	0.519	0.2405	0.3038	-0.747808
0.4907	0.487	0.491	0.4455	0.3738	0.4346	0.217	0.1321	0.1698	-1.36078
0.4728	0.4772	0.4833	0.4163	0.3883	0.4001	0.5263	0.2895	0.2237	-0.619027
0.4758	0.4621	0.469	0.4368	0.3514	0.3708	0.6622	0.4054	0.3649	-1.20887
0.4859	0.4788	0.4782	0.4238	0.3809	0.3956	0.2469	0.2469	0.2963	-0.763212
0.4873	0.484	0.4825	0.445	0.3889	0.4166	0.3165	0.1899	0.2911	-1.35934
0.488	0.4909	0.4925	0.4545	0.4211	0.4474	0.3765	0.1412	0.1765	-1.67089
0.4808	0.4738	0.4731	0.4208	0.2981	0.371	0.3478	0.1884	0.3043	-0.704857
0.493	0.4923	0.4914	0.4692	0.4259	0.4403	0.3063	0.1261	0.1802	-2.11968
0.4769	0.4796	0.4858	0.4262	0.2945	0.3962	0.4937	0.1392	0.1772	-0.888861
0.4867	0.4871	0.4867	0.4297	0.3913	0.3882	0.25	0.1518	0.1518	-0.954269
0.4851	0.4823	0.4826	0.4216	0.3187	0.3803	0.2551	0.1327	0.1939	-0.727811
0.4641	0.4894	0.4886	0.3759	0.4427	0.4437	0.4675	0.241	0.2692	0.424094
0.4836	0.4722	0.4585	0.4456	0.3673	0.3033	0.4554	0.3069	0.3366	-1.45968
0.4751	0.4694	0.4696	0.4171	0.3653	0.3127	0.4684	0.3418	0.2405	-0.63678
0.4772	0.4912	0.4945	0.3995	0.4387	0.4535	0.3271	0.1776	0.1402	-0.169356
0.4854	0.4905	0.4945	0.4523	0.4423	0.4582	0.4615	0.2079	0.1584	-1.64646
0.4856	0.4872	0.4855	0.4368	0.3571	0.4044	0.3158	0.1146	0.1979	-1.15713
0.4901	0.4864	0.4881	0.4612	0.3565	0.4126	0.3571	0.1224	0.1735	-1.88231
0.482	0.4684	0.4787	0.4334	0.3558	0.3642	0.3977	0.3295	0.2159	-1.08126
0.4752	0.4889	0.4801	0.4245	0.4431	0.3872	0.5303	0.2576	0.2424	-0.833994
0.4732	0.4708	0.4848	0.3988	0.3197	0.4112	0.4021	0.2371	0.2268	-0.151295
0.4831	0.4916	0.4942	0.433	0.4465	0.4525	0.3627	0.1961	0.1471	-1.07551
0.4683	0.472	0.4668	0.4115	0.3373	0.372	0.614	0.25	0.4035	-0.4828
0.4868	0.4866	0.4893	0.4604	0.4055	0.4531	0.5224	0.1831	0.3099	-1.85961
0.4747	0.4725	0.4712	0.3838	0.3758	0.3055	0.3152	0.3261	0.2174	0.224854
0.479	0.4801	0.4957	0.4097	0.3815	0.4692	0.3333	0.2299	0.1685	-0.426877
0.4525	0.4571	0.4402	0.3687	0.3611	0.3228	0.6567	0.5224	0.6269	0.608557
0.4824	0.4822	0.4767	0.4445	0.4203	0.3711	0.4925	0.3134	0.2537	-1.38848
0.4924	0.495	0.4956	0.4584	0.4528	0.4505	0.234	0.1237	0.1031	-1.70952
0.4733	0.4703	0.4651	0.4084	0.364	0.3517	0.4545	0.3247	0.3636	-0.401578
0.4854	0.4862	0.491	0.4504	0.4398	0.4567	0.4384	0.3151	0.274	-1.55118
0.4846	0.4928	0.4944	0.4333	0.4635	0.4716	0.3218	0.2529	0.2529	-1.05309
0.4778	0.4855	0.4727	0.4268	0.4469	0.3214	0.4706	0.3971	0.2206	-0.889675
0.4872	0.489	0.4874	0.4482	0.4424	0.3967	0.3452	0.25	0.1548	-1.47362
0.4786	0.483	0.4945	0.4182	0.3948	0.4613	0.3871	0.2151	0.172	-0.663214
0.4814	0.4756	0.4716	0.4347	0.3693	0.3754	0.4265	0.2647	0.3382	-1.09523
0.4652	0.4631	0.4447	0.4129	0.3705	0.2667	0.7302	0.4603	0.4127	-0.53278
0.4745	0.4684	0.4903	0.4175	0.3775	0.4497	0.4886	0.3977	0.25	-0.654573
0.4737	0.4597	0.4605	0.4123	0.3308	0.325	0.4713	0.3793	0.3563	-0.511142
0.4832	0.488	0.4884	0.408	0.3974	0.393	0.2469	0.1481	0.1358	-0.366514
0.4769	0.4877	0.4905	0.4148	0.4502	0.452	0.4074	0.3457	0.2593	-0.568694
0.4749	0.4731	0.4719	0.4202	0.377	0.3231	0.5	0.3205	0.2308	-0.724456
0.4772	0.4906	0.4886	0.4262	0.4448	0.4515	0.4828	0.2184	0.3218	-0.893207
0.4648	0.4594	0.461	0.3688	0.2895	0.305	0.4235	0.3059	0.314	0.595836
0.4773	0.4836	0.4789	0.4245	0.4005	0.3843	0.4646	0.22	0.2525	-0.852472
0.4786	0.4853	0.489	0.4178	0.3838	0.4464	0.3836	0.1644	0.274	-0.637169
0.4812	0.4875	0.4839	0.43	0.4186	0.3929	0.3962	0.1981	0.1981	-1.00062
0.4799	0.4874	0.4788	0.4363	0.4422	0.3436	0.4945	0.2967	0.1868	-1.18548
0.4793	0.493	0.4958	0.4058	0.4544	0.4749	0.3113	0.1887	0.2075	-0.330088
0.4787	0.4878	0.4903	0.4234	0.4215	0.4422	0.4189	0.2	0.2133	-0.793919
0.4732	0.4736	0.4718	0.401	0.3529	0.3192	0.4124	0.2577	0.2268	-0.208374
0.4834	0.4922	0.4849	0.4113	0.4219	0.3786	0.2525	0.1212	0.1616	-0.460185
0.4745	0.4852	0.4834	0.395	0.4134	0.3828	0.36	0.2267	0.1867	-0.050709
0.4864	0.4852	0.4858	0.4248	0.4177	0.3786	0.2391	0.2391	0.1505	-0.799732
0.4881	0.493	0.4889	0.4324	0.4611	0.4333	0.2286	0.2286	0.2143	-0.95446
